항목,202212,202312,202412,202512
매출액,"446,216","327,657","661,930","826,390"
영업이익,"68,094","-77,303","234,673","332,492"
당기순이익,"22,417","-91,375","197,969","256,956"
지배주주순이익,"22,296","-91,124","197,887",-
비지배주주순이익,121,-251,82,-
영업이익률,15.26,-23.59,35.45,40.23
순이익률,5.02,-27.89,29.91,31.09
ROE,3.55,-15.61,31.06,30.11
부채비율,64.12,87.52,62.15,-
당좌비율,60.27,75.97,113.24,-
유보율,"1,668.32","1,397.12","1,911.20",-
EPS,"3,063","-12,517","27,182","35,352"
PER,24.49,-11.30,6.40,5.81
BPS,"92,004","77,752","107,256","140,574"
PBR,0.82,1.82,1.62,1.46
주당배당금,"1,200","1,200","2,204","1,628"
